pt,en
"contra estes factos verificáveis, a narrativa canónica da modernidade cinematográfica apenas refere os cineastas/críticos dos cahiers","against these verifiable facts, the canonical narrative of cinematic modernity only refers to the filmmakers/critics of the cahiers"
por muito que isto choque os godardianos militantes,however much this shocks the militant Godardians
não se trata apenas do facto de ele ser um autor institucionalizado,it is not just that he is an institutionalized author
"não se tratava apenas de uma grandeur et décadence d’un petit commerce de cinéma, título de um filme seu, bem fraquinho aliás","it wasn't just a grandeur et décadence d'un petit commerce de cinema, title of a film of his, very weak by the way"
"sendo indubitavelmente um dos autores maiores da arte cinematográfica, jlg não deixa de ser muitas vezes cabotino e irritante","being undoubtedly one of the greatest authors of the cinematographic art, jlg is not without a lot of times cabotino and irritating"
"sucede ser magnífico, de uma beleza convulsiva como em o livro da imagem","happens to be magnificent, of a convulsive beauty as in the image book"
elevados níveis de reservas permitem aos países fortalecer a sua moeda,high levels of reserves allow countries to strengthen their currency
esses países tendem a estar mais aptos a cumprir as suas obrigações financeiras mesmo em caso de aumento dos custos de financiamento,these countries tend to be better able to meet their financial obligations even in the event of rising financing costs
contra-balançando estes efeitos,counterbalancing these effects
comprando a sua moeda quando os outros a estão vendendo (diminuindo as reservas em moeda estrangeira da autoridade monetária),buying your currency when others are selling it (decreasing the monetary authority's foreign currency reserves)
vendendo-a quando os outros a estão comprando (acumulando reservas em moeda estrangeira),selling it when others are buying it (accumulating foreign currency reserves)
incorrem num maior desperdício de liquidez,incur a greater waste of liquidity
investirem (as suas reservas) em produtos com baixa taxa de retorno na moeda de outros países (ex.: t-bills),invest (their reserves) in products with a low rate of return in the currency of other countries (e.g. t-bills)
guardarem as reservas num “cofre”,keep reservations in a “safe”
"quanto mais a moeda de certo país é usada como reserva, mais exposto esse mesmo país fica à sua própria dívida","the more a country's currency is used as a reserve, the more exposed that country is to its own debt"
incorrem em riscos desnecessários,take unnecessary risks
não diversificam os seus portefólios de reservas,do not diversify their booking portfolios
essa moeda torna-se numa pior reserva de valor,that currency becomes a worse store of value
a confiança dos investidores nessa moeda tende a diminuir,investor confidence in this currency tends to decrease
isto torna mais difícil esses países registarem um saldo positivo na balança corrente nos períodos seguintes,this makes it more difficult for these countries to register a positive balance in the current account in the following periods
"à medida que a moeda aprecia, as exportações desse país tornam-se menos competitivas e as importações relativamente mais baratas","as the currency appreciates, exports from that country become less competitive and imports relatively cheaper."
"para evitar a apreciação da moeda, os países têm de vender/emitir a sua própria moeda e/ou comprar reservas em moeda estrangeira","to avoid currency appreciation, countries have to sell/issue their own currency and/or buy foreign currency reserves"
"a venda da própria moeda irá aumentar a oferta da mesma facilitando o acesso ao crédito, podendo levar ao sobreinvestimento","the sale of the currency itself will increase its supply, facilitating access to credit, which may lead to overinvestment"
a expectativa de novos aumentos na taxa de câmbio pode levar ao aumento dos influxos (de curto de prazo) de capital,the expectation of further increases in the exchange rate may lead to increased (short-term) capital inflows
os países excedentários continuariam a registar um excedente na balança corrente,surplus countries would continue to record a current account surplus
um novo aumento de reservas seria necessário,a further increase in reserves would be necessary
a autoridade monetária tem de cobrir esta diferença (custos de esterilização),the monetary authority has to cover this difference (sterilization costs)
as taxas de juro dos títulos emitidos domesticamente são normalmente superiores às taxas de juro dos ativos denominados em moeda estrangeira,interest rates on domestically issued securities are normally higher than the interest rates on assets denominated in foreign currency
as reservas representam uma boa forma de constituir poupanças,reserves are a good way to build savings
a partir de certo ponto os benefícios inerentes podem ser inferiores aos seus custos,beyond a certain point the inherent benefits may be less than their costs
é por isso importante que cada país avalie todos os prós e contras,it is therefore important for each country to assess all the pros and cons
alguns deles sejam difíceis de mensurar,some of them are difficult to measure
o caso português é um pouco diferente,the portuguese case is a little different
os níveis de reservas são ainda relativamente baixos,reserve levels are still relatively low
aumentando desta forma a confiança dos investidores,thereby increasing investor confidence
"sem reservas, a taxa de câmbio [3] pode diminuir caso os investidores decidam vender (ou aumentar caso decidam comprar) a moeda do país","without reserves, the exchange rate [3] may decrease if investors decide to sell (or increase if they decide to buy) the country's currency"
destabilizando a taxa de câmbio,destabilizing the exchange rate
"e, por conseguinte, a economia",and therefore the economy
"com reservas, os países podem realinhar a taxa de câmbio contra-balançando estes efeitos","with reserves, countries can realign the exchange rate to counterbalance these effects."
diminuição da taxa de câmbio (através da venda/emissão da moeda do país e/ou compra de ativos de reserva em moeda estrangeira),exchange rate decrease (through the sale/issuance of the country's currency and/or purchase of foreign currency reserve assets)
aumento da competitividade das exportações nos mercados internacionais,increased competitiveness of exports in international markets
estimular a curto prazo a economia,stimulate the economy in the short term
menor competitividade das importações no mercado interno,less competitiveness of imports in the domestic market
são eles também que incorrem num maior desperdício de liquidez,they are also the ones who incur a greater waste of liquidity
investirem (as suas reservas) em produtos com baixa taxa de retorno na moeda de outros países (ex.: t-bills) ou simplesmente guardarem as reservas num “cofre”,invest (their reserves) in products with a low rate of return in the currency of other countries (e.g. t-bills) or simply keep their reserves in a “safe”
a soma de todos os défices e excedentes de todos os países nas balanças correntes ser por definição zero,the sum of all current account deficits and surpluses of all countries is by definition zero
existem países com uma balança corrente positiva e uma enorme almofada financeira contra crises,there are countries with a positive current account and a huge financial cushion against crises
há outros tantos que têm gasto muito para além das suas possibilidades acumulando défices comerciais e/ou fiscais sucessivos,"there are many others who have spent far beyond their means, accumulating successive commercial and/or fiscal deficits"
colocando-se particularmente expostos a crises de financiamento,putting themselves particularly exposed to funding crises
mais exposto esse mesmo país fica à sua própria dívida,more exposed that same country is to its own debt
os países não diversificam os seus portefólios de reservas,countries do not diversify their reserve portfolios
países excedentários tendem a ver as suas taxas de câmbio aumentar,surplus countries tend to see their exchange rates increase
confiança acrescida dos investidores,increased investor confidence
torna mais difícil esses países registarem um saldo positivo na balança corrente nos períodos seguintes,makes it more difficult for these countries to register a positive balance in the current account in the following periods
as exportações desse país tornam-se menos competitivas e as importações relativamente mais baratas,exports from that country become less competitive and imports relatively cheaper
a venda da própria moeda irá aumentar a oferta da mesma,selling one's own currency will increase the supply of the same
facilitando o acesso ao crédito,facilitating access to credit
levar ao sobreinvestimento,lead to overinvestment
a expectativa de novos aumentos na taxa de câmbio,the expectation of further increases in the exchange rate
levar ao aumento dos influxos (de curto de prazo) de capital,lead to increased (short-term) capital inflows
"para evitar este ciclo vicioso, a autoridade monetária tem de esterilizar o aumento de reservas vendendo títulos de dívida domesticamente para absover a liquidez extra criada com a emissão de moeda","to avoid this vicious cycle, the monetary authority has to sterilize the increase in reserves by selling debt securities domestically to absorb the extra liquidity created by issuing currency"
atrair os investidores domésticos,attract domestic investors
os ativos de reserva em moeda estrangeira expõem as autoridades monetárias ao risco de câmbio,foreign currency reserve assets expose monetary authorities to foreign exchange risk
constituir grandes perdas de capital caso a moeda do país aprecie em relação à moeda em que as suas reservas estão aplicadas,constitute large capital losses if the country's currency appreciates against the currency in which its reserves are held
"importante que cada país avalie todos os prós e contras, embora alguns deles sejam difíceis de mensurar","It is important for each country to assess all the pros and cons, although some of them are difficult to measure"
parte desse caminho já está a ser percorrido,part of this path is already being traveled
"reservas a atingirem um recorde máximo em março de 2017 com 26098.55 millhões €, que contrastam com o recorde mínimo de 6764.99 milhões € em agosto de 2007","reserves reaching a record high in March 2017 with €26098.55 million, which contrasts with the record low of €6764.99 million in August 2007"
a taxa de câmbio [3] pode diminuir caso os investidores decidam vender (ou aumentar caso decidam comprar) a moeda do país,the exchange rate [3] may decrease if investors decide to sell (or increase if they decide to buy) the country's currency
"destabilizando a taxa de câmbio e, por conseguinte, a economia","destabilizing the exchange rate and, therefore, the economy"
"sendo os países em desenvolvimento os países que mais acumulam reservas, são eles também que incorrem num maior desperdício de liquidez","as developing countries are the countries that accumulate the most reserves, they are also the ones that incur the greatest waste of liquidity"
estes investirem (as suas reservas) em produtos com baixa taxa de retorno na moeda de outros países (ex.: t-bills) ou simplesmente guardarem as reservas num “cofre” [5],they invest (their reserves) in products with a low rate of return in the currency of other countries (eg t-bills) or simply keep the reserves in a “vault” [5]
as reservas podiam servir para estimular a procura global através do investimento ou consumo,reserves could serve to stimulate global demand through investment or consumption
acabam por contrair a economia mundial,end up contracting the world economy
"se existem países com uma balança corrente positiva e uma enorme almofada financeira contra crises isso implica que há outros tantos que têm gasto muito para além das suas possibilidades acumulando défices comerciais e/ou fiscais sucessivos [8], colocando-se particularmente expostos a crises de financiamento [9]","if there are countries with a positive current account and a huge financial cushion against crises, this implies that there are many others that have spent far beyond their means, accumulating successive trade and/or fiscal deficits [8], putting themselves particularly exposed to crises of financing [9]"
estes incorrem em riscos desnecessários,they incur unnecessary risks
"à medida que a moeda aprecia, as exportações desse país tornam-se menos competitivas","as the currency appreciates, exports from that country become less competitive"
as importações relativamente mais baratas,relatively cheaper imports
a venda da própria moeda irá aumentar a oferta da mesma facilitando o acesso ao crédito,"the sale of the currency itself will increase its supply, facilitating access to credit"
podendo levar ao sobreinvestimento,may lead to overinvestment
as taxas de juro dos títulos emitidos domesticamente são normalmente superiores às taxas de juro dos ativos denominados em moeda estrangeira de forma a atrair os investidores domésticos,interest rates on domestically issued securities are usually higher than interest rates on assets denominated in foreign currency in order to attract domestic investors
podendo constituir grandes perdas de capital caso a moeda do país aprecie em relação à moeda em que as suas reservas estão aplicadas,could constitute large capital losses if the country's currency appreciates in relation to the currency in which its reserves are applied
cada país avalie todos os prós e contras,each country evaluate all the pros and cons
promessas e concessões evidentes,obvious promises and concessions
o fim dos protestos permanece uma incógnita ou talvez não,the end of the protests remains an unknown or maybe not
adivinha-se a vontade cidadã de confrontar os anunciados mais de 80 mil agentes das forças de segurança nas ruas,"the public will to confront the announced more than 80,000 agents of the security forces on the streets"
o caminho participativo das ruas oferece resultados mais rápidos,the participatory path of the streets offers faster results
violência que se fará presente,violence that will be present
"promessas e concessões evidentes, no que respeita à reivindicação inicial e aparentemente motivadora dos ""gilets jaunes""","clear promises and concessions, as regards the initial and apparently motivating claim of the ""gilets jaunes"""
"nos ares de paris, nas redes sociais, nos tweets adivinha-se a vontade cidadã de confrontar os anunciados mais de 80 mil agentes das forças de segurança nas ruas","in the air of paris, on social networks, in tweets one can guess the citizen's will to confront the announced more than 80 thousand agents of the security forces in the streets"
"não surgirão apoios ou declarações de simpatia de países ou organizações internacionais para os ""gilets jaunes"", nem condenações severas por parte desses mesmos países ou organizações dos métodos utilizados pela frança em relação aos seus próprios cidadãos","there will be no support or declarations of sympathy from countries or international organizations for the ""gilets jaunes"", nor will there be severe condemnations by those same countries or organizations of the methods used by france in relation to its own citizens"
"desta vez, a desqualificação e minimização do ocorrido pelas autoridades francesas e o silêncio em respeito da soberania serão predominantes","this time, the disqualification and minimization of what happened by the French authorities and the silence regarding sovereignty will be predominant"
"a mobilização do enorme descontentamento difuso e possibilidade de os protestos chegarem a outros países, tal como chegaram à bélgica, é real e deixa certamente inquietos os países do sul da europa","the mobilization of the huge widespread discontent and the possibility of the protests reaching other countries, as they did in belgium, is real and certainly makes the countries of southern europe uneasy"
tão castigados com os apertões de cinto impostos pela ue,so punished by the belt tightening imposed by the eu
transitórios e ilusórios,transient and illusory
"violência que se fará presente, seja por efeito dos agitadores, seja por efeito da resposta musculada das autoridades para reafirmação do regime","violence that will be present, either as a result of the agitators or as a result of the authorities' muscular response to reaffirm the regime"
"verdadeira claustrofobia e asfixia democrática que mergulha os cidadãos dos nossos tempos ora no conformismo, revelado nos níveis de abstenção, ora no inconformismo que a luta nas ruas revela","true claustrophobia and democratic asphyxiation that plunges the citizens of our times either into conformism, revealed in the levels of abstention, or into the non-conformism that the struggle in the streets reveals"
o voto resume-se frequentemente a uma opção entre o menos mau,the vote often boils down to a choice between the least bad
o grito de revolta do cidadão é real,the citizen's cry of revolt is real
a participação política prometida pela democracia é cada vez mais uma ilusão,the political participation promised by democracy is increasingly an illusion
"à míngua da desejada democracia participativa, o caminho participativo das ruas oferece resultados mais rápidos – mesmo que transitórios e ilusórios","In the absence of the desired participatory democracy, the participatory path of the streets offers faster results – even if transitory and illusory"
o ponto de partida para os trabalhos levados a cabo em buenos aires era indisfarçavelmente melindroso,the starting point for the work carried out in buenos aires was undisguisedly touchy
"o grau de abertura das nações é reflexo das sensibilidades domésticas e dos solavancos internacionais e, em ambos os níveis, proliferavam condicionantes","the degree of openness of nations is a reflection of domestic sensitivities and international upheavals and, at both levels, conditioning factors proliferated"
"saltavam à vista a disputa comercial entre os estados unidos e a china, a tensão militar no estreito de kerch, o caso khashoggi, a investidura do próximo presidente brasileiro e ainda a saída do reino unido da união europeia","the trade dispute between the united states and china, the military tension in the kerch strait, the khashoggi case, the investiture of the next brazilian president and even the united kingdom's departure from the european union stood out."
"o presidente macri cumpriu uma das suas basilares promessas de campanha: transformar um país que se encontrava fora dos mercados internacionais numa nação conectada com o mundo, numa voz escutada, relevante e credível","President Macri fulfilled one of his basic campaign promises: to transform a country that was outside international markets into a nation connected with the world, into a voice that was heard, relevant and credible"
"a cimeira de buenos aires consagrou a argentina como um país plenamente reinserido na comunidade internacional, defensor do multilateralismo e aberto ao investimento estrangeiro e ao diálogo com todos os interlocutores","the summit in buenos aires consecrated argentina as a country fully reinserted in the international community, defender of multilateralism and open to foreign investment and dialogue with all interlocutors"
"alude a três dos principais reptos globais: as alterações climáticas, o combate ao terrorismo e a defesa do comércio internacional","addresses three of the main global challenges: climate change, combating terrorism and defending international trade"
"a declaração final não é – contrariamente ao que vi referido – um pronunciamento de circunstância, estéril e minimalista","the final statement is not – contrary to what I saw mentioned – a statement of circumstance, sterile and minimalist"
"está hoje claro, aos olhos dos argentinos e do mundo, que o presidente macri cumpriu uma das suas basilares promessas de campanha: transformar um país que se encontrava fora dos mercados internacionais numa nação conectada com o mundo, numa voz escutada, relevante e credível","It is now clear, in the eyes of Argentines and the world, that President Macri fulfilled one of his basic campaign promises: to transform a country that was outside international markets into a nation connected with the world, in a heard, relevant and credible voice."
"a declaração final não é um pronunciamento de circunstância, estéril e minimalista","the final statement is not a sterile, minimalistic pronouncement"
vi referido,I saw referred
"foi importante ver os signatários do acordo de paris reiterar, na declaração do g20, que se trata de um compromisso “irreversível”, feito de “responsabilidades comuns embora diferenciadas”","it was important to see the signatories of the paris agreement reiterate, in the g20 declaration, that this is an “irreversible” commitment, made up of “common but differentiated responsibilities”"
em vésperas da conferência das nações unidas sobre alterações climáticas,on the eve of the United Nations Conference on Climate Change
convocar a indústria digital para o combate ao terrorismo,summon the digital industry to fight terrorism
"sem o envolvimento das plataformas tecnológicas e a celebração de convénios internacionais na área da cibersegurança, a tarefa dos estados neste campo estará cada vez mais dificultada","without the involvement of technological platforms and the celebration of international agreements in the area of ​​cybersecurity, the task of states in this field will be increasingly difficult"
alude a três dos principais reptos globais,addresses three of the main global challenges
as alterações climáticas,climate change
o combate ao terrorismo,the fight against terrorism
a defesa do comércio internacional,the defense of international trade
hesitei antes de ensaiar esta prosa,I hesitated before rehearsing this prose
a ideia da (pseudo)incompatibilidade entre ciência e religião é tipicamente mal tratada,the idea of ​​(pseudo)incompatibility between science and religion is typically treated poorly
a superficialidade da argumentação tende a não merecer grande consideração,the superficiality of the argument tends not to deserve much consideration
a adesão à temática encoraja um ensaio de esclarecimento,adherence to the theme encourages a clarification essay
me encontro particularmente desperto para este assunto,I find myself particularly awake to this matter
sendo químico (positivamente marcado pelos competentes livros de atkins),being a chemist (positively marked by the competent atkins books)
crente católico romano,Roman Catholic believer
consciente de que a complexidade envolvida nesta problemática,aware that the complexity involved in this problem
arrisco alguns contrapontos em formato abreviado,I venture some counterpoints in abbreviated format
são inúmeras e indiscutíveis as vantagens da empresa científica,there are countless and indisputable advantages of the scientific enterprise
existem alguns exemplos de abuso ou mau uso da ciência e outros aspetos caricaturáveis do exercício científico,there are some examples of abuse or misuse of science and other caricatured aspects of scientific exercise
pela sua própria natureza,by its very nature
a transcendência não é totalmente acessível,transcendence is not fully accessible
"para os crentes religiosos, relacionável","for religious believers, relatable"
a religião não se confunde com a espiritualidade,religion is not to be confused with spirituality
a espiritualidade é o vinho e a religião um copo por onde este se pode beber,spirituality is wine and religion is a glass from which it can be drunk
"pode entender-se a religião como a projeção cultural de uma determinada espiritualidade, resultando num conjunto de adesões pessoais e comunitárias, incluindo ritualizações","religion can be understood as the cultural projection of a certain spirituality, resulting in a set of personal and community adhesions, including ritualizations"
o fenómeno religioso seja vasto e complexo,the religious phenomenon is vast and complex
"podemos ver a religião, no caso do cristianismo, por exemplo, como um palco para uma vivência de fé","we can see religion, in the case of Christianity, for example, as a stage for an experience of faith"
a religião não se baseia no ato explicativo,religion is not based on the explanatory act
como o entende e exercita a ciência,How does science understand and practice it?
sempre luzes e sombras que caraterizam as religiões,always lights and shadows that characterize the religions
"a ciência, na sua génese europeísta, deve muito à cosmovisão suportada pela tradição judaico-cristã","science, in its Europeanist genesis, owes much to the cosmovision supported by the Judeo-Christian tradition"
"a comunidade científica, constituída por indivíduos crentes e não crentes, tende a privilegiar o diálogo entre ciência e religião","the scientific community, made up of believers and non-believers, tends to favor dialogue between science and religion"
sendo a posição de atkins uma exceção em decrescimento,atkins position being an exception in degrowth
quase me sinto no dever institucional de pedir desculpa aos meus colegas filósofos por tamanha desconsideração e indelicadeza,I almost feel an institutional duty to apologize to my fellow philosophers for such inconsideration and impoliteness
acaba por pontapear a filosofia,ends up kicking philosophy
entendo que a ciência cada vez mais deverá considerar as humanidades,I understand that science will increasingly have to consider the humanities
"registo ainda o gesto quase edipiano de matança de ""mãe""","I also register the almost Oedipal killing gesture of ""mother"""
"a ciência, na mais elementar análise, deriva da chamada philosofia natural","science, in the most elementary analysis, derives from the so-called natural philosophy"
"do lado de muitas religiões e de muitas pessoas religiosas, existem práticas, posições e argumentações também elas nada coerentes nem facilitadoras do diálogo","on the side of many religions and many religious people, there are practices, positions and arguments which are also not coherent or facilitating dialogue"
as colocações que derivam das aproximações literalistas aos livros sagrados,the collocations that derive from literalist approaches to the sacred books
os caminhos equívocos de um “deus-tapa-buracos”,the equivocal ways of a “god-filler”
permite um confronto crítico do seu caminho e amplia o robustecimento das razões da sua fé,allows a critical confrontation of your path and increases the strengthening of the reasons for your faith
o diálogo com a não crença é fundamental para os crentes,Dialogue with non-belief is fundamental for believers
a colocação de não crença num deus é uma possibilidade para qualquer ser humano,the placement of non-belief in a god is a possibility for any human being
a fé é sempre terreno de risco para cada um dos crentes,faith is always a risky terrain for each of the believers
crença e não crença são dois olhares de diferentes ângulos sobre o mesmo mistério,belief and non-belief are two views from different angles on the same mystery
"ao longo da história do pensamento e felizmente de forma mais transparente no ambiente secular em que vivemos, o ateísmo resulta precisamente do livre pensamento","throughout the history of thought and fortunately more transparently in the secular environment in which we live, atheism results precisely from free thought"
o diálogo é (como em tantos desafios da vida) o melhor caminho,dialogue is (as in so many challenges in life) the best way
a ciência se desenvolve precisamente na tensão entre a tentativa de “separar para simplificar” e a complexidade do real,Science develops precisely in the tension between the attempt to “separate to simplify” and the complexity of the real
esta posição fundamentalista de simplificação (que exclui outros olhares sem ‘óculos científicos’) é precisamente perigosa... e mata o diálogo,this fundamentalist position of simplification (which excludes other perspectives without ‘scientific glasses’) is precisely dangerous... and kills the dialogue
ainda bem que ele é não crente nesse deus,Good thing he's not a believer in this god
"eu, com entusiasmo, acompanho-o nesse ‘ateísmo’",I enthusiastically accompany you in this 'atheism'
o deus em que não acredita peter atkins é inacreditável,the god you don't believe in peter atkins is unbelievable
a ciência não responde a todas as questões,Science doesn't answer all questions
responde a questões do tipo how? e não do tipo why?,answer questions like how? and not the why?
a ciência tem a si associados dois aspetos que são determinantes neste tema,science has two aspects associated with it that are decisive in this topic
tem um caráter dinâmico,has a dynamic character
as verdades científicas são intrinsecamente provisórias,Scientific truths are intrinsically provisional
sua própria natureza,your own nature
"podemos ver a religião, no caso do cristianismo, por exemplo, como um palco para uma vivência de fé, isto é, de confiança numa transcendência que, contudo, se plasma na realidade (imanência)","we can see religion, in the case of Christianity, for example, as a stage for an experience of faith, that is, of trust in a transcendence that, however, is shaped in reality (immanence)"
permite um confronto crítico do seu caminho,allows a critical confrontation of your way
amplia o robustecimento das razões da sua fé,expands the strength of the reasons for your faith
o ateísmo resulta precisamente do livre pensamento,atheism results precisely from free thought
existem alguns exemplos de abuso ou mau uso da ciência,there are some examples of abuse or misuse of science
outros aspetos caricaturáveis do exercício científico,other caricatured aspects of scientific exercise
a espiritualidade é o vinho,spirituality is wine
a religião um copo por onde este se pode beber,religion a glass from which it can be drunk
a religião não responde também a todas as perguntas,religion doesn't answer all the questions either
"as perguntas do tipo how? (como evoluiu o homem?, por exemplo) não são o foco da religião","questions like how? (how did man evolve?, for example) are not the focus of religion"
tem a sua metodologia,has its methodology
"a religião não se baseia no ato explicativo, como o entende e exercita a ciência","religion is not based on the explanatory act, as science understands and exercises it"
"fitando-se, antes, no mistério do significado da existência",looking rather at the mystery of the meaning of existence
"nos dias de hoje, a comunidade científica, constituída por indivíduos crentes e não crentes, tende a privilegiar o diálogo entre ciência e religião","nowadays, the scientific community, made up of believers and non-believers, tends to privilege the dialogue between science and religion."
a posição de atkins uma exceção em decrescimento,atkins position an exception in degrowth
"os simplismos da ciência, como os da religião, bloqueiam, paradoxalmente, as pontes de diálogo","the simplisms of science, like those of religion, paradoxically block the bridges of dialogue"
abdicarem da complexidade inerente,relinquish the inherent complexity
aqui quase me sinto no dever institucional de pedir desculpa aos meus colegas filósofos por tamanha desconsideração e indelicadeza,here I almost feel an institutional duty to apologize to my fellow philosophers for such disregard and indelicacy
"o fundamentalismo religioso, tal como o fundamentalismo cientificista, constituem a base desta (pseudo)incompatibilidade","Religious fundamentalism, like scientific fundamentalism, form the basis of this (pseudo)incompatibility"
"não há que escamotear que a ciência, na sua génese europeísta, deve muito à cosmovisão suportada pela tradição judaico-cristã, ideia assumida de forma consensual na história da ciência","there is no need to hide the fact that science, in its Europeanist genesis, owes much to the cosmovision supported by the Judeo-Christian tradition, an idea assumed in a consensual way in the history of science"
"a religião não responde também a todas as perguntas e, em certo sentido, tem a sua metodologia","religion does not answer all questions either and, in a certain sense, has its own methodology"
"as perguntas do tipo how? (como evoluiu o homem?, por exemplo) não são o foco da religião nem os livros sagrados são os indicados para lhes dar resposta","questions like how? (how did man evolve?, for example) are not the focus of religion, nor are the sacred books indicated to answer them"
"a religião não se baseia no ato explicativo, como o entende e exercita a ciência, fitando-se, antes, no mistério do significado da existência","religion is not based on the explanatory act, as science understands and exercises it, looking, rather, at the mystery of the meaning of existence"
"""revolução"" é um termo frequente na literatura sobre os direitos humanos","""revolution"" is a frequent term in the human rights literature"
"o reconhecimento e proclamação de ""direitos humanos"" tiveram uma repercussão revolucionária em todos os domínios da vida individual, social e internacional","the recognition and proclamation of ""human rights"" had revolutionary repercussions in all domains of individual, social and international life"
o grupo de trabalho interministerial para as comemorações dos 70 anos da declaração universal dos direitos humanos e dos 40 anos da adesão de portugal à convenção europeia dos direitos humanos poderia fazer uma diligência nesse sentido,the interministerial working group to commemorate the 70th anniversary of the universal declaration of human rights and the 40th anniversary of portugal's accession to the european convention on human rights could take steps in this direction
a re-publicação do texto (rectificado) da declaração seria um acto significativo destas comemorações,the re-publication of the (rectified) text of the declaration would be a significant act of these commemorations
"o reconhecimento e proclamação de ""direitos humanos"" tiveram uma repercussão revolucionária em todos os domínios da vida individual, social e internacional, sobretudo a partir de 1948","the recognition and proclamation of ""human rights"" had a revolutionary repercussion in all domains of individual, social and international life, especially after 1948"
"os valores e princípios dos direitos humanos tornaram-se o direito do direito, isto é, um direito intangível, indisponível, acima do princípio de soberania e da liberdade contratual dos estados","the values ​​and principles of human rights have become the law of law, that is, an intangible, unavailable right, above the principle of sovereignty and the contractual freedom of states"
transformando as paisagens jurídicas internacional e nacional,transforming the international and national legal landscapes
tenho perfeita consciência da frágil linha de gelo em que nos movemos,I am perfectly aware of the fragile line of ice we move on
"todos, accionistas e trabalhadores, têm de conter as suas legítimas expectativas","everyone, shareholders and workers, must contain their legitimate expectations"
impede ainda hoje as nossas instituições de crédito de ter um rating que lhes permita emissões de dívida nos mercados a longo prazo,still prevents our credit institutions from having a rating that allows them to issue debt in the long-term markets
os bancos continuam a pagar a factura do despautério e da embriaguez irresponsável das duas décadas anteriores,banks continue to foot the bill for the sloppiness and irresponsible drunkenness of the previous two decades
"seria e era de esperar que os trabalhadores fossem recompensados pelo seu esforço, empenho e dedicação","it would and was to be expected that workers would be rewarded for their effort, commitment and dedication"
"a banca encontra-se, felizmente para todos, a recuperar e este ano o sector registará um crescimento de mais de 80% dos seus resultados líquidos","the banking sector is, fortunately for everyone, recovering and this year the sector will register a growth of more than 80% of its net income"
"estes administradores, com uma visão 1.0 do futuro da banca, olham para os trabalhadores como um custo e nada mais do que isso","these administrators, with a 1.0 vision of the future of banking, look at workers as a cost and nothing more"
"em vez de premiarem os mais novos e em fase ascendente das suas carreiras, estes “burrocratas”, se me permitem que me apodere por momentos da expressão de herberto helder, preferem punir e redistribuir, numa manobra tacanha e digna de gente sem qualquer respeito pelos seus concidadãos","instead of rewarding the youngest and those in the ascending phase of their careers, these “bureaucrats”, if I may take a moment from the expression of herberto helder, prefer to punish and redistribute, in a narrow-minded maneuver worthy of people with no respect for the your fellow citizens"
"a banca encontra-se, felizmente para todos, a recuperar","the bank is, fortunately for everyone, recovering"
este ano o sector registará um crescimento de mais de 80% dos seus resultados líquidos,this year the sector will register a growth of more than 80% of its net income
estes administradores olham para os trabalhadores como um custo e nada mais do que isso,these managers look at workers as a cost and nothing more
uma visão 1.0 do futuro da banca,a 1.0 vision of the future of banking
"em vez de premiarem os mais novos e em fase ascendente das suas carreiras, estes “burrocratas”, se me permitem que me apodere por momentos da expressão de herberto helder, preferem punir e redistribuir","instead of rewarding the youngest and those in the ascending phase of their careers, these “bureaucrats”, if I may take over the expression of herberto helder for a moment, prefer to punish and redistribute"
"uma sociedade desportiva não precisa, para existir enquanto tal, de um clube fundador","a sporting society does not need, in order to exist as such, a founding club"
"a sociedade desportiva pode ser constituída de raiz, sem a necessária participação de um clube","the sports society can be constituted from scratch, without the necessary participation of a club"
ele apenas é necessário quando se pretenda a constituição pela transformação (do clube) ou por personalização jurídica de equipa desportiva (do clube),it is only necessary when the constitution is intended for the transformation (of the club) or for the legal customization of a sports team (of the club)
a sociedade desportiva “sobrevivente” passa a estar sujeita ao regime estabelecido para as sociedades desportivas constituídas de raiz,the “survivor” sports company becomes subject to the regime established for sports companies created from scratch
"por não contemplar a (agora, desnecessária ou injustificada) tutela do clube fundador",for failing to contemplate the (now unnecessary or unwarranted) guardianship of the founding club
"a decisão que lhe subjaz exigirá, como qualquer outra decisão de investimento, a ponderação relativa à existência de um mínimo de segurança jurídica","the decision that underlies it will require, like any other investment decision, the consideration of the existence of a minimum of legal certainty"
este investimento comporta sempre riscos,this investment always involves risks
"o clube fundador recebe, aí, um tratamento distinto (mais favorável) daquele que teria um qualquer outro sócio, nessa ou noutra sociedade","the founding club receives, there, a different (more favorable) treatment from that which any other member would have, in that or another society"
"ao clube fundador, nas sociedades constituídas por esse meio (e só nesse caso), são legalmente conferidos meios de tutela especial","to the founding club, in societies constituted by this means (and only in this case), means of special guardianship are legally granted"
"nos termos da lei, a sociedade desportiva pode ser constituída de raiz, sem a necessária participação de um clube","under the terms of the law, the sports society can be constituted from scratch, without the necessary participation of a club"
pode subsistir sem ele,can survive without it
ela se pode constituir sem um clube fundador,it can be constituted without a founding club
"a lei das sociedades desportivas determina que a participação do clube fundador, nas sociedades constituídas pela personalização jurídica de equipa desportiva, não pode ser inferior a 10% do capital social","the sports companies law determines that the participation of the founding club, in companies constituted by the legal customization of a sports team, cannot be less than 10% of the share capital"
silêncio da lei neste ponto,silence of the law at this point
