pt,en
ficha,token
limpa,clean
promulgada,enacted
lula,squid
aprovada,approved
votos,wishes
sondagem,poll
estadão,estadão
impera,reigns
rouba,steal
bolsa-família,family allowance
recomposição,recomposition
epíteto,epithet
adhemar,adhemar
mensalão,monthly allowance
eclodiu,broke out
atirou,shot
companheiros,companions
poupado,spared
criando-se,creating
mito,myth
sabia,you knew
fornecendo,providing
infratores,offenders
subvalorizam,undervalue
cega,blind
devidas,due
destituída,destitute
falsificação,falsification
lavagem,washing
apartamento,apartment
aguardando-se,waiting
julgado,judged
opinion,opinion
makers,makers
corrompe,corrupts
erra,wrong
irregularidades,irregularities
realizam,perform
militante,militant
afaga,stroke
esquece,forgets
ditaduras,dictatorships
brutais,brutal
humanitárias,humanitarian
turbine,turbine
sócrates,Socrates
enlodados,slimy
similares,similar
juntem,gather
perplexidade,bewilderment
socialismo,socialism
colunistas,columnists
gigantesca,gigantic
lerem,read
processo-crime,criminal prosecution
dececiona,disappoint
fachim,fachim
unanimidade,unanimity
sentença,verdict
declarou,declared
vinculatividade,binding
comité,committee
comatoso,comatose
extrema,extreme
abateu,slaughtered
refletem,reflect
prosperidade,prosperity
legadas,legacies
ascende,ascends
alternativos,alternatives
injustificável,unjustifiable
fazem-no,do it
volumetria,volumetry
escolhidas,chosen
arquitectos,architects
preserva,preserve
optaram,chose
intrusivo,intrusive
envolvente,enveloping
mono,mono
rato,mouse
manel,manel
lioz,lioz
calibre,caliber
sintomático,symptomatic
permissiva,permissive
acha,he thinks
extirpada,excised
unidade,unity
esquina,corner
olhada,look
consulta,Query
bateu,hit
seguida,then
multiplicado,multiplied
petições,petitions
perigoso,dangerous
segue-se,it follows
incluam,include
pré-visualização,preview
partilhamos,we share
possamos,we can
links,links
listar,list
página,page
pronunciado,pronounced
wikimedia,wikimedia
software,software
personalidades,personalities
relator,reporter
ilícitas,illicit
escolhida,chosen
implique,imply
atropelo,run over
diretamente,directly
publicar,publish
fará,will make
adaptem,adapt
adotar,to adopt
posturas,postures
apertada,tight
mínima,minimum
optarão,will choose
apagar,delete
diferem,differ
interpretações,interpretations
divergentes,divergent
utilizador,user
distribuidor,distributor
impuseram-se,imposed themselves
inultrapassável,unsurpassable
virtualmente,virtually
ilimitado,unlimited
pseudo-coletivismo,pseudo-collectivism
invertido,inverted
ditado,saying
massificação,massification
conseguida,achieved
apropriação,appropriation
gerado,generated
votação,vote
mínimas,minimums
produzem,produce
parcela,portion
compete,competes
milionários,millionaires
gerados,generated
demagógico,demagogic
verdadeiros,true
impérios,empires
económico-ideológicos,economic-ideological
redundar,redundancy
branqueamento,bleaching
equiparar,equate
autorizado,authorized
lógico,logical
coletividade,collectivity
tendencialmente,tending
gratuita,free
ditos,sayings
assistiram,watched
impotentes,helpless
afastou,walked away
gerada,generated
deixando-os,leaving them
enriquecimento,enrichment
inversão,inversion
instalaram,installed
sedimentados,sedimented
alicerçados,grounded
prevalecer,prevail
remunerar,remunerate
produtivo,productive
expressiva,expressive
más,but
imperadores,emperors
corja,corge
topa,check it out
insurgem,insurge
diretiva,directive
registam,register
preferências,preferences
orientam,guide
gostos,likes
dirigida,directed
ocorra,occur
carregados,loaded
polémico,controversial
faísca,spark
direita,right
destaco,I highlight
complementar,additional
desvantagens,disadvantages
pensionistas,pensioners
expostos,exposed
macroeconómicos,macroeconomic
ativa,active
demográficas,demographics
produtividade,productivity
pensão,pension
concretamente,concretely
organizados,organized
contribuinte,taxpayer
capitalização,capitalization
azo,azo
incipiente,incipient
conflitualidades,conflicts
insipiência,insipience
demográfico,demographic
impasse,impasse
apresente,present
redistributivo,redistributive
detém,holds
carenciadas,deprived
apostarem,bet on
complementares,complementary
implicam,imply
redistributivos,redistributive
disponibiliza,makes available
voluntária,volunteer
efetuar,carry out
contribuições,contributions
aderente,adherent
capitalizados,capitalized
convertidos,converted
certificados,certificates
assenta,sits
ocupacional,occupational
trabalhador,worker
inserido,inserted
contributiva,contributory
obrigatório,mandatory
voluntário,voluntary
afirmações,affirmations
inconsequente,inconsequential
anuncia-se,it is announced
brevemente,soon
documento,document
dl,dl
diretores,directors
obrigatoriedade,obligatoriness
consignar,consign
geradas,generated
atávica,atavistic
acabe,end
reduzir,reduce
pó,dust
modestas,modest
salvado,salvaged
acrescido,plus
possibilitado,made possible
escorar,prop
mediação,mediation
administrativo,administrative
converter,to convert
falácia,fallacy
organograma,chart
permanece,remains
configurando,Setting
proclama,proclaims
desabar,collapse
depauperados,impoverished
desguarnecidos,unguarded
desumana,inhumane
mnaa,mnaa
reivindicou,claimed
matam,kill
sustentar-se,support yourself
proteger-se,protect yourself
prosaicamente,prosaically
gerariam,would generate
urbanísticos,urban planning
mereceram,deserved
vendido,sold
falso,false
inventado,created
maliciosa,malicious
obscuro,obscure
despacho,dispatch
participado,participated
escrutinado,scrutinized
consultas,queries
inúmeras,countless
tuteladas,tutored
expressos,espresso
resultam,result
transação,transaction
alheia,alien
insisto,I insist
delirante,delusional
bancos,banks
minoritária,minority
adquiriu,acquired
deixarei,I will leave
ofensas,offenses
levarei,I will take
avançarei,I will advance
comentário,comment
reveladora,revealing
honestidade,honesty
incompetências,incompetence
inações,inactions
enaltecimento,praise
envolveu,involved
urbanísticas,urban planning
falsidades,falsehoods
insinuações,innuendo
entrevista,interview
concedida,granted
originou,originated
propagando,propagating
novelo,ball
infindável,endless
atentatórias,attempts
contados,counted
montada,mounted
arquivo,file
falsidade,falsehood
injúria,injury
avocados,avocados
plenário,plenary
oposições,oppositions
calúnias,slander
ex-vereador,former councilor
bodes,goats
expiatórios,scapegoats
vinha,came
filha,daughter
escultor,sculptor
inserida,inserted
meandros,meanders
quadrado,square
pintura,painting
cor,color
abandona,abandon
expõe-na,expose her
tomemos,let's take
aceite,accept
anunciávamos,we advertised
núcleo,core
ombrear,shoulder
contemporâneos,contemporaries
além-fronteiras,across borders
óbvio,obvious
marido,husband
implícito,implicit
fotografava,photographed
tocados,touched
negados,denied
pressuponho,I presuppose
quiserem,want
reforça,reinforces
dinâmicas,dynamics
sexual,sexual
caraterísticas,characteristics
respeitáveis,respectable
costumam,usually
delegados,delegates
respeitabilidade,respectability
fotografias,photographs
mapplethorpe,mapplethorpe
provocar,to tease
suscetíveis,susceptible
censório,censorial
progenitores,parents
acompanhados,accompanied
adulto,adult
requerido,required
prima,cousin
tia,aunt
avô,grandmother
válidos,valid
deduzir,deduce
obrigada,Thanks
manda,sends
aconselhável,advisable
proibir,forbid
autoridade,authority
aplique,apply
aceitem,accept
articulada,articulated
liberta,free
amputações,amputations
desmembramentos,break-ups
espúrios,spurious
bloqueamento,blocking
configura,sets up
anti-liberal,anti-liberal
veicula,conveys
indiretas,indirect
prescindir,do without
desautorizar,disallow
decidirem,decide
morais,morals
caprichos,whims
estéticos,aesthetic
fetiches,fetishes
sexuais,sexual
ditames,dictates
paroquiais,parochial
clarificar,clarify
avisos,warnings
reservado,reserved
determinados,determined
assinada,signed
configurações,settings
presunção,presumption
levado,taken
administrador,administrator
declarar,declare
saberia,would know
restam,remain
diretor,principal
curador,curator
previamente,previously
inaugurou,inaugurated
louvado,praised
abnegação,abnegation
implicações,implications
administrações,administrations
rostos,faces
giram,rotate
atrito,friction
infinito,infinite
crescentemente,increasingly
ênfase,emphasis
interferência,interference
direta,direct
programações,schedules
levantadas,raised
democráticos,democratic
contornos,contours
exerce-se,it is exercised
falsa,false
sugestão,suggestion
nu,naked
espada,sword
parede,wall
descartar,to discard
afeta,affect
esclarecer,clarify
programação,schedule
vinda,coming
guggenheim,guggenheim
sintoma,symptom
exorbitação,exorbitation
descontrolada,out of control
instrução,instruction
censória,censorship
curatorial,curatorial
pertinentes,pertinent
emancipados,emancipated
interrogo,question
genuinamente,genuinely
salvaguardados,safeguarded
inquérito,inquiry
métrica,metric
exposições,exhibitions
projeção,projection
esvaziar,drain out
retiradas,withdrawals
relata,reports
remontá-la,reassemble it
luzes,lights
insinuou-se,insinuated himself
especulativo,speculative
apresentadas,presented
austríacos,austrians
agradeciam,thank you
preferível,preferable
enviesada,skewed
indicar,indicate
övp,ovp
pró-europeu,pro-european
silenciosa,silent
assustador,spooky
extrema-direita,far right
austríaca,austrian
áustria,Austria
outlier,outlier
musculados,muscular
imbuídos,imbued
largos,wide
caminhar,walk
tolerante,tolerant
territorial,territorial
aumentado,increased
mainstream,mainstream
parceiro,partner
severas,severe
governar,to rule
enfrentou,faced
novamente,again
parlamentar,parliamentary
aliando-se,allying
fpo,fpo
arrecadou,collected
coligação,coalition
entrou,came in
impuseram,imposed
protesto,protest
paisagem,landscape
formais,formal
sentir,to sense
pan-europeu,pan-european
frança,France
inflacionada,inflated
longevidade,longevity
falamos,we talk
derivas,drifts
autoritários,authoritarian
hungria,Hungary
virou,turned
aliciar,entice
simpatizantes,sympathizers
anti-imigração,anti-immigration
spö,spo
optou,chose
fraturantes,fracturing
insuficiente,insufficient
resolve,solve
isoladamente,in isolation
crítico,critical
estabilização,stabilization
leque,fan
alargado,extended
necessitam,need
todo,all
duradouro,lasting
estável,stable
sistémica,systemic
multidisciplinar,multidisciplinary
integradora,integrator
intertemporalmente,intertemporally
adequadamente,properly
pobre,poor
relativo,relative
aderentes,adherents
suscita,raises
level,level
dispensar,dismiss
diferenciado,differentiated
colhe,reap
governance,governance
eminentemente,eminently
substitui,replaces
acumulação,accumulation
coloca-nos,put us
típico,typical
comprometidas,committed
atrofiamento,atrophy
deixam-nos,leave us
recolhido,collected
sentenças,sentences
arbitrais,arbitrators
proferidas,uttered
colégios,colleges
acimas,above
hipoteticamente,hypothetically
colocam,put
deveres,duties
arbitral,arbitral
necessita,need
financeiramente,financially
auto-sustentável,self sustainable
atingido,hit
percebe,realize
inexista,does not exist
legislativa,legislative
tad,tad
abrangente,embracing
postulado,postulate
decorridos,elapsed
assume-se,it is assumed
péssimo,terrible
agoiro,omen
credibilidade,credibility
integrar,to integrate
inconstitucionais,unconstitutional
litígios,litigation
distorção,distortion
adaptado,adapted
vetá-lo,veto it
jurisdição,jurisdiction
célere,swift
trecho,stretch
anulação,annulment
devastadores,devastating
alargamento,enlargement
retivermos,we retain
fulcral,central
levando,leading
descredibilizar,discredit
fortíssima,very strong
afirmar-se,assert oneself
distrito,District
meias,socks
ecossistemas,ecosystems
sustentáveis,sustainable
parcelas,installments
zelamos,we watch over
ambientalmente,environmentally
economicamente,economically
húmidas,wet
candidatar,apply
arrábida,arrábida
cimenteira,cement plant
co-incineradora,co-incinerator
laboração,labor
estuário,estuary
sedimentar,sedimentary
golfinhos,dolphins
saltos,heels
promovemos,we promote
pesca,fishing
sado,sado
formado,formed
moldam,shape
viveu,lived
alimento,food
fornece-nos,provide us
gratuito,free
chamamos,we call
sensível,sensitive
estaria,would be
reconheça,recognize
resumido,summed up
arruma-se,get ready
justificativa,justification
ancorada,anchored
junta-se,join
destinada,intended
equivoco,mistake
demográfica,demographic
metropolitana,metropolitan
estabeleceu-se,settled down
cidade-periferia,periphery city
trade-off,trade-off
prós,pros
contras,cons
enquadrado,framed
idealização,idealization
segmentos,segments
remetendo-os,sending them
generalizada,generalized
adquiridos,acquired
virar,turn
milénio,millennium
iniciada,started
escolaridade,schooling
escolhe,choose
menosprezam,despise
subúrbio,suburb
retardamento,retardation
adiamento,postponement
amortecimento,damping
diluindo,diluting
timidamente,shyly
epicentro,epicenter
freguesias,parishes
aumentos,raises
simultâneos,simultaneous
indicadores,indicators
absolutos,absolutes
interrupção,interruption
revelador,revealing
classes,classes
defraudadas,defrauded
inevitabilidade,inevitability
financeirização,financialization
contrapõe-se,opposes
militância,militancy
padece,suffers
amplificado,amplified
indiretamente,indirectly
afectou,affected
driver,driver
alternativo,alternative
apreciado,appreciated
pequeníssima,tiny
diabolização,diabolization
idiossincrasia,idiosyncrasy
instrumentalização,instrumentalization
estúpidas,stupid
espelha,mirrors
coincidente,coincidental
condigna,worthy
iniciou,started
trajetória,trajectory
interrompida,interrupted
retornados,returned
agravar-se-ia,would get worse
círculo,circle
vicioso,vicious
disempowerment,disempowerment
vulnerabilidade,vulnerability
arrendatários,tenants
atualidade,present
estilos,styles
agregados,aggregates
hetero,hetero
homossexuais,homosexuals
coabitação,cohabitation
ignorados,ignored
andorinha,swallow
inevitabilidades,inevitabilities
sobrepuseram,overlapped
irrealista,unrealistic
passasse,pass
mudassem,change
havido,there has been
poderoso,powerful
deve-se,one must
raciocínio,reasoning
simplista,simplistic
ensinou,he taught
extremas,extremes
imposto,tax
contracção,contraction
transaccionada,transacted
removeram,removed
licenciaturas,degrees
mestrados,masters
microeconomia,microeconomics
pressionadas,pressed
bolonha,bologna
empregabilidade,employability
economistas,economists
focado,focused
cobrança,charge
negligencia,negligence
falha,failure
escasso,scarce
impressão,print
hipervalorizam,overvalue
confrontamos,we confront
miudinhas,little girls
limitam-se,limit themselves
rendeu,surrendered
familiaridade,familiarity
micro-dados,micro data
estimação,pet
econométrica,econometric
impactados,impacted
matéria-prima,feedstock
armazenam,store
acederem,access
escrutinada,scrutinized
profissionalmente,professionally
conduzi,I drove
operações,operations
constava,consisted
economista,economist
responderam,responded
aproximava,approached
razoavelmente,reasonably
qualificações,qualifications
solicitadas,requested
internalizada,internalized
consórcio,consortium
empregadores,employers
formadores,trainers
superada,overcome
acordavam,woke up
comprometer-se-ia,would commit
recrutar,recruit
instalada,installed
fariam,would do
intermunicipal,intercity
entrosado,introverted
achar,find
acabei,I finished
extraterrestre,extraterrestrial
dedicamos,we dedicate
conferências,conferences
arrastar,drag
confirmando,confirming
pertinência,relevance
reflexos,reflexes
quotidianamente,daily
emergem,emerge
fulcrais,pivotal
procedimentos,procedures
uniformizar,standardize
agilizar,expedite
autarquias,municipalities
pugnar,wrestle
quimera,chimera
calendarizado,scheduled
brotam,sprout
burocrática,bureaucratic
administrativa,administrative
iminente,imminent
posta,post
contínuas,continuous
liberalização,liberalization
paulatinamente,gradually
trilham,tread
prestado,provided
defenderem,defend
reservada,reserved
usando,using
alibi,alibi
imperativo,imperative
traçar,draw
aptos,fit
perspectivem,perspective
metodologias,methodologies
semelhança,resemblance
centrista,centrist
equidistante,equidistant
moderado,moderate
implicará,will imply
cadeira,chair
vazia,empty
afeiçoaram-se,got fond of
compreende,understands
acontecerá,will happen
desresponsabilização,disclaimer
rasga,rips
encara,face
normatividade,normativity
opressivas,oppressive
conveniências,conveniences
vento,wind
carro-vassoura,broom car
caricatura,caricature
desistência,give up
arrastado,dragged
gizar,chalk
doutrina,doctrine
programática,programmatic
indeterminação,indeterminacy
teto,roof
conservador,conservative
abrigue,shelter
sobra-lhes,they have enough
chapéu,hat
infrene,infuriate
nacionalismos,nationalisms
protofascismos,proto-fascism
perdurou,lasted
civilização,civilization
extremismos,extremisms
inimigos,enemies
relativista,relativist
acolitada,acolyte
yupismo,yupism
poetas,poets
pariu,gave birth
afinal,in the end
intrinsecamente,intrinsically
amorais,amoral
emitem,emit
satisfazem,satisfy
arrendatário,tenant
conduzido,conducted
acessíveis,accessible
tomadas,sockets
carrega,carries
tomada,power plug
sublinha,underlines
corrompê-las,corrupt them
afetam,affect
expressam,express
atitudes,attitudes
trocados,exchanged
levá-las,take them
ensina,teach
encarar,to stare
bastar,enough
eucaliptais,eucalyptus
imparável,unstoppable
alastramento,spread
silvo-industrial,industrial forest
décimo,tenth
praia,beach
relativa,relative
plantações,plantations
eucalipto,eucalyptus
contraditório,contradictory
rurais,rural
invasoras,invasive
australianas,australian
ardido,burning
eucaliptal,eucalyptus
representou,represented
oe,hey
preencham,fill in
requisito,requirement
venham,come
preencher,Fill
apresentem,present
doença,disease
paternidade,paternity
abrangidos,covered
equiparação,equalization
agrava,aggravates
ligeiramente,lightly
próximas,close
prejudicial,harmful
contributivas,contributory
contida,contained
traduz,translate
exceptuarmos,except
antecipação,anticipation
profissões,professions
tributação,taxation
faseada,phased
aplicável,applicable
cumprida,fulfilled
formativo,formative
reformar-se,reform
antecipadamente,in advance
auferir,earn
enraizada,rooted
teimoso,stubborn
cebolas,onions
respondemos,we answer
desobediência,disobedience
valentes,brave
marquês,marquis
terreiro,terreiro
velhos,old
velha,old
adere,adhere
baralhar,shuffle
capricho,whim
insistem,insist
kiev,Kiev
enviar,to send
cargas,loads
kerch,kerch
crimeia,Crimea
naval,naval
reivindicação,claim
fracassará,will fail
destacar,highlight
russa,russian
reaproximação,rapprochement
moscovo,moscow
sugere,suggests
russas,russians
poroshenko,poroshenko
popularidade,popularity
marcial,martial
intensificar,intensify
holofotes,spotlight
decretar,decree
manipular,manipulate
estimulando,stimulating
resta-nos,we have left
putin,putin
agamémnon,agamemnon
tráfego,traffic
ia,go
portos,ports
reconhece,recognizes
atravessar,pass through
ucraniano,Ukrainian
declarasse,declare
preparasse,prepare
atacados,attacked
apreendidos,seized
estreito,narrow
torpedeiros,torpedo boats
rebocador,tug
tripulantes,crew
detidos,detainees
feridos,injured
convenção,convention
embarcações,vessels
transitar,transit
territoriais,territorial
inocente,innocent
representem,represent
acusa,accuses
militarizar,militarize
patrulha,patrol
evidenciar,show
beligerância,belligerence
esperasse,wait
tripulação,crew
capturada,captured
generalistas,generalists
específica,specific
confrontado,confronted
encomenda,order
distinto,distinct
constituírem,constitute
modernas,modern
edificado,built up
superou,overcame
deixado,left
cresceram,have grown
urbanizado,urbanized
redesenharam,redesigned
edificaram,built
exponenciaram,exponentiated
preocupar-se,worry
restauro,restoration
publicações,publications
docomomo,docomomo
documentação,documentation
inclusivas,inclusive
arquiteto,architect
pós-graduação,postgraduate studies
interdisciplinar,interdisciplinary
inclusivos,inclusive
correta,correct
leite,milk
vasconcelos,vasconcelos
deram,gave
imperar,reign
feitura,craftsmanship
ortografias,spellings
atuado,acted
actuado,acted
pareceres,opinions
recomendavam,recommended
ratificasse,ratify
modificativo,modification
leu,read
linguística,linguistics
românica,Romanesque
hackel,hacker
riverside,riverside
apoiante,supporter
moção,motion
manifestou,manifested
vereação,council
decidida,decided
adopte,adopt
ao90,ao90
envie,send
publicação,Publication
brasileira,Brazilian
adoptante,adopter
verá,will see
cê,you
reposto,replenished
aspecto,aspect
devolvido,returned
recepção,Front desk
tirar,to throw
consoantes,consonants
pertencerem,belong
derivação,derivation
afinidade,affinity
ortografia,orthography
gráfica,print shop
significar,to mean
perdeu-se,got lost
justamente,precisely
dantes,before
interessam,interest
ignore,ignore it
linguista,linguist
acento,accent
sucessivos,successive
tentado,tempted
adoptar,to adopt
tínhamos,We had
acomodatício,accommodative
universal,universal
pornográfico,pornographic
obsceno,obscene
despesa,expense
efetiva,effective
estátua,statue
retirada,withdrawal
substituiu,replaced
feriado,holiday
trâmites,procedures
conducentes,leading
adopção,adoption
reunirem,gather
booking,booking
spotify,spotify
tradicionais,traditional
estariam,would be
gigante,giant
desatualizados,outdated
digitalização,digitization
desenhados,drawn
propensas,prone
repatriar,repatriate
ineficiente,inefficient
trará,will bring
negociações,negotiations
taxar,tax
arriscamos,we risk
reclamamos,we complain
imediata,immediate
cheguem,arrive
tributária,tax
evasão,evasion
basicamente,basically
votado,voted
aperto,grip
justifica-se,justified
renegociação,renegotiation
reaberta,reopened
apagado,wiped out
descontos,discounts
contar,tell
equiparando,equating
siadap,siadap
irresponsabilidade,irresponsibility
conceder,grant
contagem,score
puder,can
garantido,guaranteed
reconhecerão,will recognize
hemiciclo,hemicycle
ver-se-á,you will see
desalinhei,misaligned
cumprindo,fulfilling
disciplina,subject
designam,designate
deputado,congressperson
desalinhado,disheveled
votações,polls
cumpri,comply
apreço,appreciation
votei,I voted
convictamente,conviction
alinhado,lined up
reabrir,reopen
parado,stopped
insatisfações,dissatisfactions
austeridade,austerity
filho,son
neto,grandson
professoras,teachers
nobre,noble
abracei,hugged
recuso-me,I refuse
umbigo,belly button
cinematográfica,cinematographic
acolhido,welcomed
prénom,given name
leão,lion
presidido,chaired
bertolucci,bertolucci
marcando,scoring
reconciliação,reconciliation
neuf,neuf
zéro,zero
mozart,mozart
jlg,jlg
procurou,searched
actores,actors
vedetas,stars
acossado,harassed
bardot,bardot
desprezo,contempt
constantine,constantine
jean-paul,jean-paul
belmondo,belmondo
lançado,released
entretanto,meantime
tornara,had become
grandeza,greatness
louco,Crazy
marina,marina
vlady,vlady
mireille,mireille
darc,darc
hanna,hanna
schygulla,schygulla
famosíssimo,very famous
ferro,iron
casal,couple
ultra-medático,ultra meticulous
détective,detective
vague,wander
gérard,gérard
hèlas,hello
king,king
lear,lear
redundou,resulted in
desastre,disaster
godard,godard
brando,bland
woody,woody
allen,allen
singular,singular
duplamente,doubly
deificação,deification
god,god
art,art
insistente,insistent
blogs,blogs
cinematecas,cinematheques
páginas,pages
vectorial,vectorial
leves,light
jean-luc,jean-luc
indubitável,undoubted
cabotino,cabotino
irritante,irritating
lato,broad
englobar,encompass
rive,rive
gauche,gauche
verificáveis,verifiable
canónica,canonical
refere,refers
cahiers,cahiers
godardianos,godardians
militantes,militants
institucionalizado,institutionalized
décadence,decadence
petit,petit
commerce,commerce
fraquinho,weakling
sucede,happens
convulsiva,convulsive
contra-balançando,counter-balancing
comprando,shopping
vendendo,selling
diminuindo,decreasing
estrangeira,foreign
monetária,monetary
vendendo-a,selling it
incorrem,incur
investirem,invest in
t-bills,t-bills
guardarem,keep
cofre,safe box
exposto,exposed
desnecessários,unnecessary
diversificam,diversify
portefólios,portfolios
registarem,register
balança,balance
aprecia,appreciates
exportações,exports
tornam-se,become
baratas,cockroaches
comprar,purchase
facilitando,facilitating
sobreinvestimento,overinvestment
expectativa,expectation
câmbio,exchange
influxos,inflows
excedentários,surplus
excedente,surplus
cobrir,to cover
esterilização,sterilization
juro,interest
emitidos,issued
domesticamente,domestically
denominados,called
inferiores,inferior
avalie,evaluate
mensurar,measure
decidam,decide
destabilizando,destabilizing
realinhar,realign
emissão,issue
estimular,encourage
soma,sum
défices,deficits
balanças,scales
almofada,cushion
colocando-se,putting up
esterilizar,sterilize
absover,absorb
monetárias,monetary
perdas,losses
aprecie,enjoy
atingirem,reach
contrastam,contrast
6764.99,6764.99
acumulam,accumulate
contrair,contract
promessas,promises
concessões,concessions
protestos,protests
adivinha-se,guess
cidadã,citizen
participativo,participative
motivadora,motivating
gilets,gilets
ares,ares
surgirão,will arise
condenações,convictions
desqualificação,disqualification
francesas,french
predominantes,predominant
mobilização,mobilization
descontentamento,discontent
difuso,diffuse
inquietos,restless
castigados,punished
apertões,squeezes
cinto,belt
transitórios,transient
ilusórios,illusory
agitadores,agitators
musculada,muscular
reafirmação,reaffirmation
claustrofobia,claustrophobia
asfixia,asphyxia
mergulha,dives
conformismo,conformism
abstenção,abstention
inconformismo,nonconformity
resume-se,it boils down
grito,shout
revolta,revolt
míngua,starvation
participativa,participatory
indisfarçavelmente,undisguisedly
melindroso,touchy
sensibilidades,sensitivities
domésticas,domestic
solavancos,bumps
proliferavam,proliferated
saltavam,jumped
investidura,investiture
encontrava,found
nação,nation
conectada,connected
escutada,listened
cimeira,summit
consagrou,consecrated
argentina,Argentina
reinserido,reinserted
defensor,defender
multilateralismo,multilateralism
interlocutores,interlocutors
alude,alludes
reptos,feats
terrorismo,terrorism
contrariamente,contrary
pronunciamento,pronouncement
estéril,sterile
minimalista,minimalist
argentinos,argentinians
reiterar,reiterate
diferenciadas,differentiated
vésperas,vespers
convocar,summon up
convénios,agreements
cibersegurança,cybersecurity
dificultada,difficulty
hesitei,I hesitated
ensaiar,rehearse
tratada,treated
merecer,to deserve
consideração,consideration
encoraja,encourages
esclarecimento,clarification
desperto,awake
químico,chemical
crente,believer
romano,Roman
consciente,conscious
envolvida,involved
problemática,problematic
arrisco,risk
contrapontos,counterpoints
formato,Format
abreviado,abbreviated
abuso,abuse
caricaturáveis,caricatured
crentes,believers
religiosos,religious
relacionável,relatable
espiritualidade,spirituality
copo,glass
beber,drink
entender-se,understand each other
resultando,resulting
adesões,adhesions
comunitárias,community
ritualizações,ritualizations
cristianismo,christianity
baseia,based
explicativo,explanatory
exercita,exercise
sombras,shadows
caraterizam,characterize
europeísta,european
cosmovisão,worldview
suportada,supported
constituída,constituted
atkins,atkins
decrescimento,decrease
sinto,I feel
desculpa,excuse
filósofos,philosophers
tamanha,such
desconsideração,disregard
indelicadeza,rudeness
pontapear,kick
entendo,I understand
gesto,gesture
edipiano,oedipal
matança,killing
mãe,mom
deriva,drift
philosofia,philosophy
argumentações,arguments
coerentes,coherent
facilitadoras,facilitators
colocações,placements
derivam,derive
aproximações,approximations
literalistas,literalists
equívocos,misconceptions
deus-tapa-buracos,god-filler
amplia,magnify
robustecimento,hardening
crença,belief
ângulos,angles
ateísmo,atheism
desenvolve,develops
separar,break apart
fundamentalista,fundamentalist
exclui,excludes
óculos,glasses
acompanho-o,I accompany you
acredita,believe
inacreditável,unbelievable
how,how
why,why
determinantes,determinants
dinâmico,dynamic
provisórias,provisional
plasma,plasma
imanência,immanence
perguntas,Questions
fitando-se,staring at each other
simplismos,simplisms
bloqueiam,block
paradoxalmente,paradoxically
abdicarem,abdicate
fundamentalismo,fundamentalism
cientificista,scientist
escamotear,conceal
indicados,indicated
repercussão,repercussion
interministerial,interministerial
comemorações,celebrations
diligência,diligence
re-publicação,re-publication
rectificado,rectified
intangível,intangible
indisponível,unavailable
gelo,ice
movemos,we move
rating,rating
factura,invoice
despautério,ruthlessness
embriaguez,drunkenness
irresponsável,irresponsible
recompensados,rewarded
recuperar,to recover
registará,will register
líquidos,liquids
administradores,administrators
olham,look
premiarem,reward
ascendente,ascending
burrocratas,donkeys
apodere,seize
herberto,herberto
redistribuir,redistribute
manobra,maneuver
tacanha,narrow-minded
pretenda,intend
personalização,personalization
sobrevivente,survivor
estabelecido,established
constituídas,constituted
desnecessária,unnecessary
subjaz,underlies
exigirá,will require
ponderação,weighting
sócio,partner
nessa,in this
noutra,in another
conferidos,conferred
determina,determines
percentagem,percentage
carecem,lack
prossecução,pursuit
desenvolvi,developed
continuarei,I will continue
subsistência,subsistence
transmitidos,transmitted
imperativamente,imperatively
algum,any
pretender,to intend
devolução,devolution
societário,corporate
consagrado,consecrated
bolsonaro,bolsonaro
ilustração,illustration
deliberada,deliberate
candidato,candidate
programados,programmed
cadeias,chains
fake,fake
proclamações,proclamations
contraditórias,contradictory
pleito,lawsuit
determinar,to determine
ampliação,enlargement
interlocução,interlocution
florescer,bloom
demodiversidade,demodiversity
intercultural,intercultural
desenvolvimentistas,developmentalists
desvaloriza,devalues
tornadas,tornadoes
obsoletas,obsolete
enfrentamento,confrontation
agonístico,agonistic
deliberação,deliberation
deliberativos,deliberative
remetidos,remitted
deseja,want
atravessa,through
demonstradas,demonstrated
ampliam,enlarge
aprofundam,deepen
sublinham,underline
ocupar,to occupy
verificada,verified
desalavancagem,deleveraging
capitais,capitals
alheios,alien
existente,existing
existirem,exist
endividada,in debt
orientado,oriented
pague,Pay
dividendos,dividends
imitado,imitated
poupam,save
decrescer,decrease
envelhecer,age
rácio,ratio
descontam,discount
reduzir-se,reduce
drasticamente,drastically
jovem,young
reforme,reform
poupar,save
incentivem,encourage
inflação,inflation
depara-se,comes across
malparado,ill-fitting
imparidades,impairments
demonstrando,demonstrating
propensão,propensity
agravar,aggravate
externo,external
arduamente,hard
açores,Azores
parecido,like
essencialmente,essentially
inadequado,inappropriate
desenvolvidas,developed
i.e.,i.e.
denominador,denominator
isdr,isdr
traçado,trace
comunitário,community
homólogos,counterparts
discute,discuss
multinível,multilevel
lido,read
queiram,want
trajetórias,trajectories
agregado,aggregate
verificação,verification
ue28,ue28
desigualdade,inequality
deveu,owed
aml,aml
comparada,compared
considerarmos,we consider
separadamente,separately
registaram,registered
populacional,populational
seguido,followed
explicam-se,explain themselves
exibiram,exhibited
contraste,contrast
recetores,receptors
acabará,will end
despovoamento,depopulation
territórios,territories
multidimensional,multidimensional
índice,index
sintético,synthetic
provisão,provision
